담당 파트,우선순위,도메인,구분,메서드,경로,기능,인증,경로 파라미터,쿼리 파라미터,요청 바디,응답 data,설명,구현 상태,선행 작업,컨트롤러
A. 공통·기반,1,04. File,사용자,POST,/api/v1/files,파일 업로드,로그인,,purpose*(PROFILE_IMAGE/COMPANY_LOGO/PORTFOLIO/PROJECT_FILE/SIGNATURE),multipart: file,FileResponse,purpose 에 따라 허용 확장자와 크기 상한이 달라집니다.,스켈레톤,-,FileController
A. 공통·기반,1,04. File,사용자,DELETE,/api/v1/files/{fileId},파일 삭제,로그인,fileId*,,,없음,업로드한 본인만 삭제할 수 있습니다.,스켈레톤,-,FileController
A. 공통·기반,1,04. File,사용자,GET,/api/v1/files/{fileId},파일 메타 조회,로그인,fileId*,,,FileResponse,다운로드 URL 을 얻을 때 사용합니다.,스켈레톤,-,FileController
B. 계정·마이페이지,1,06. Account,관리자,GET,/api/v1/accounts/admin,[관리자] 회원 목록,ADMIN,,"role(CLIENT/FREELANCER/ADMIN), status(PENDING/ACTIVE/LOCKED/WITHDRAWN), signupType(EMAIL/SOCIAL), keyword, page, size",,PageResponseAdminAccountResponse,이름·이메일 검색과 유형·상태·가입방식 필터를 지원합니다.,스켈레톤,-,AccountController
B. 계정·마이페이지,1,06. Account,관리자,GET,/api/v1/accounts/admin/summary,[관리자] 회원 요약,ADMIN,,,,AdminAccountSummaryResponse,회원 관리 화면 상단 카드입니다.,스켈레톤,-,AccountController
B. 계정·마이페이지,1,06. Account,관리자,GET,/api/v1/accounts/admin/{accountId},[관리자] 회원 상세,ADMIN,accountId*,,,AdminAccountDetailResponse,"기본 정보와 활동 현황(진행중·완료·취소·누적 거래금액·리뷰 수·평균 별점), 프로젝트 이력을 함께 반환합니다.",스켈레톤,-,AccountController
B. 계정·마이페이지,1,06. Account,관리자,DELETE,/api/v1/accounts/admin/{accountId}/suspension,[관리자] 회원 정지 해제,ADMIN,accountId*,,,AdminAccountResponse,,스켈레톤,-,AccountController
B. 계정·마이페이지,1,06. Account,관리자,POST,/api/v1/accounts/admin/{accountId}/suspension,[관리자] 회원 정지,ADMIN,accountId*,,"AccountSuspendRequest: reason*, days",AdminAccountResponse,정지된 회원은 로그인할 수 없습니다.,스켈레톤,-,AccountController
B. 계정·마이페이지,1,06. Account,사용자,DELETE,/api/v1/accounts/me,회원 탈퇴,로그인,,,"AccountWithdrawRequest: currentPassword, reason",없음,진행 중인 프로젝트나 미납 요금이 있으면 탈퇴할 수 없습니다. 탈퇴 후 30일간 같은 이메일·휴대폰으로 재가입할 수 없습니다.,스켈레톤,-,AccountController
B. 계정·마이페이지,1,06. Account,사용자,GET,/api/v1/accounts/me/payment-methods,결제수단 목록,로그인,,,,PaymentMethodResponse[],수수료 결제에 쓰는 카드·간편결제 목록입니다. 기본 결제수단이 맨 앞에 옵니다.,스켈레톤,-,AccountController
